"POS","RIDER","COUNTRY","POINTS","STAGE"
88,"Silvan Dillier","SWI",9,13
89,"Marco Haller","AUT",9,13
90,"Guillaume Van Keirsbulck","BEL",9,13
91,"Alexey Lutsenko","KAZ",8,13
92,"Guy Niv","ISR",8,13
93,"Adrien Petit","FRA",8,13
94,"Reinardt Janse Van Rensburg","RSA",8,13
95,"Bauke Mollema","NED",7,13
96,"Nathan van Hooydonck","BEL",7,13
97,"Florian Vermeersch","BEL",7,13
98,"Ion Izagirre","ESP",6,13
99,"Rigoberto Uran","COL",6,13
100,"Jonas Rutsch","GER",6,13
101,"Edward Planckaert","BEL",6,13
102,"Christopher Juul Jensen","DEN",6,13
103,"Damiano Caruso","ITA",5,13
104,"Simone Velasco","ITA",5,13
105,"Philippe Gilbert","BEL",5,13
106,"Pierre-Luc Perichon","FRA",4,13
107,"Tim Wellens","BEL",4,13
108,"Anthony Turgis","FRA",4,13
109,"Rafal Majka","POL",3,13
110,"Kévin Geniets","LUX",3,13
111,"Joseph Lloyd Dombrowski","USA",3,13
112,"Michael Woods","CAN",3,13
113,"Connor Swift","GBR",3,13
114,"Owain Doull","GBR",3,13
115,"Cyril Lemoine","FRA",3,13
116,"Valentin Madouas","FRA",2,13
117,"Amaury Capiot","BEL",2,13
118,"Alexander Krieger","GER",2,13
119,"Maciej Bodnar","POL",2,13
120,"Brandon McNulty","USA",1,13
121,"Marc Hirschi","SWI",1,13
1,"Wout Van Aert","BEL",333,14
2,"Tadej Pogacar","SLO",164,14
3,"Fabio Jakobsen","NED",155,14
4,"Mads Pedersen","DEN",132,14
5,"Magnus Cort Nielsen","DEN",129,14
6,"Christophe Laporte","FRA",121,14
7,"Michael Matthews","AUS",118,14
8,"Jasper Philipsen","BEL",116,14
9,"Jonas Vingegaard","DEN",96,14
10,"Peter Sagan","SVK",86,14
11,"Fred Wright","GBR",76,14
12,"Simon Clarke","AUS",72,14
13,"Neilson Powless","USA",64,14
14,"Matteo Jorgenson","USA",63,14
15,"Alberto Bettiol","ITA",61,14
16,"David Gaudu","FRA",61,14
17,"Dylan Groenewegen","NED",60,14
18,"Luis Leon Sanchez","ESP",59,14
19,"Lennard Kämna","GER",57,14
20,"Geraint Thomas","GBR",56,14
21,"Edvald Boasson Hagen","NOR",52,14
22,"Michael Morkov","DEN",51,14
23,"Thomas Pidcock","GBR",50,14
24,"Taco Van Der Hoorn","NED",50,14
25,"Nairo Quintana","COL",48,14
26,"Hugo Houle","CAN",48,14
27,"Stefan Küng","SWI",48,14
28,"Thibaut Pinot","FRA",47,14
29,"Filippo Ganna","ITA",44,14
30,"Bob Jungels","LUX",43,14
31,"Primoz Roglic","SLO",43,14
32,"Romain Bardet","FRA",42,14
33,"Benjamin Thomas","FRA",42,14
34,"Simon Geschke","GER",40,14
35,"Adam Yates","GBR",39,14
36,"Danny Van Poppel","NED",38,14
37,"Luca Mozzato","ITA",37,14
38,"Enric Mas","ESP",35,14
39,"Caleb Ewan","AUS",35,14
40,"Patrick Konrad","AUT",33,14
41,"Nicholas Schultz","AUS",33,14
42,"Alexander Kristoff","NOR",33,14
43,"Louis Meintjes","RSA",32,14
44,"Jakob Fuglsang","DEN",32,14
45,"Andreas Lorentz Kron","DEN",32,14
46,"Anthony Perez","FRA",30,14
47,"Alberto Dainese","ITA",30,14
48,"Dylan Teuns","BEL",29,14
49,"Marc Soler","ESP",29,14
50,"Felix Grossschartner","AUT",28,14
51,"Nils Politt","GER",27,14
52,"Hugo Hofstetter","FRA",27,14
53,"Kobe Goossens","BEL",25,14
54,"Sven Erik Bystrøm","NOR",24,14
55,"Jérémy Lecroq","FRA",24,14
56,"Brent Van Moer","BEL",23,14
57,"Yves Lampaert","BEL",22,14
58,"Pierre-Roger Latour","FRA",22,14
59,"Chris Froome","GBR",21,14
60,"Jasper Stuyven","BEL",21,14
61,"Steven Kruijswijk","NED",20,14
62,"Dylan Van Baarle","NED",20,14
63,"Frederik Frison","BEL",19,14
64,"Alexander Vlasov","RUS",18,14
65,"Rigoberto Uran","COL",18,14
66,"Daniel Martinez","COL",18,14
67,"Nelson Oliveira","POR",18,14
68,"Alexis Gougeard","FRA",18,14
69,"Jonathan Castroviejo","ESP",17,14
70,"Krists Neilands","LAT",17,14
71,"Benoit Cosnefroy","FRA",16,14
72,"Giulio Ciccone","ITA",16,14
73,"Carlos Verona","ESP",15,14
74,"Georg Zimmermann","GER",15,14
75,"Mattia Cattaneo","ITA",15,14
76,"Matis Louvel","FRA",15,14
77,"Stan Dewulf","BEL",15,14
78,"Cyril Barthe","FRA",15,14
79,"Jack Bauer","NZL",15,14
80,"Sepp Kuss","USA",14,14
81,"Sebastian Schönberger","AUT",13,14
82,"Andrea Pasqualon","ITA",13,14
83,"Imanol Erviti","ESP",13,14
84,"Maximilian Walscheid","GER",12,14
85,"Mikkel Bjerg","DEN",12,14
86,"Andreas Leknessund","NOR",11,14
87,"Maximilian Schachmann","GER",11,14
88,"Jan Tratnik","SLO",11,14
89,"Florian Senechal","FRA",11,14
90,"Tiesj Benoot","BEL",10,14
91,"Silvan Dillier","SWI",9,14
92,"Marco Haller","AUT",9,14
93,"Guillaume Van Keirsbulck","BEL",9,14
94,"Alexey Lutsenko","KAZ",8,14
95,"Guy Niv","ISR",8,14
96,"Adrien Petit","FRA",8,14
97,"Reinardt Janse Van Rensburg","RSA",8,14
98,"Bauke Mollema","NED",7,14
99,"Nathan van Hooydonck","BEL",7,14
100,"Florian Vermeersch","BEL",7,14
101,"Ion Izagirre","ESP",6,14
102,"Jonas Rutsch","GER",6,14
103,"Edward Planckaert","BEL",6,14
104,"Christopher Juul Jensen","DEN",6,14
105,"Damiano Caruso","ITA",5,14
106,"Simone Velasco","ITA",5,14
107,"Philippe Gilbert","BEL",5,14
108,"Michael Woods","CAN",4,14
109,"Pierre-Luc Perichon","FRA",4,14
110,"Tim Wellens","BEL",4,14
111,"Anthony Turgis","FRA",4,14
112,"Rafal Majka","POL",3,14
113,"Kévin Geniets","LUX",3,14
114,"Gregor Mühlberger","AUT",3,14
115,"Joseph Lloyd Dombrowski","USA",3,14
116,"Connor Swift","GBR",3,14
117,"Owain Doull","GBR",3,14
118,"Cyril Lemoine","FRA",3,14
119,"Valentin Madouas","FRA",2,14
120,"Franck Bonnamour","FRA",2,14
121,"Amaury Capiot","BEL",2,14
122,"Alexander Krieger","GER",2,14
123,"Maciej Bodnar","POL",2,14
124,"Brandon McNulty","USA",1,14
125,"Marc Hirschi","SWI",1,14
1,"Wout Van Aert","BEL",378,15
2,"Tadej Pogacar","SLO",182,15
3,"Jasper Philipsen","BEL",176,15
4,"Mads Pedersen","DEN",158,15
5,"Fabio Jakobsen","NED",155,15
6,"Christophe Laporte","FRA",121,15
7,"Michael Matthews","AUS",118,15
8,"Peter Sagan","SVK",104,15
9,"Jonas Vingegaard","DEN",96,15
10,"Fred Wright","GBR",83,15
11,"Dylan Groenewegen","NED",74,15
12,"Neilson Powless","USA",64,15
13,"Matteo Jorgenson","USA",63,15
14,"Alberto Bettiol","ITA",61,15
15,"David Gaudu","FRA",61,15
16,"Luis Leon Sanchez","ESP",59,15
17,"Lennard Kämna","GER",57,15
18,"Geraint Thomas","GBR",56,15
19,"Danny Van Poppel","NED",54,15
20,"Edvald Boasson Hagen","NOR",52,15
21,"Hugo Houle","CAN",51,15
22,"Thomas Pidcock","GBR",50,15
23,"Taco Van Der Hoorn","NED",50,15
24,"Nairo Quintana","COL",48,15
25,"Stefan Küng","SWI",48,15
26,"Thibaut Pinot","FRA",47,15
27,"Luca Mozzato","ITA",47,15
28,"Nils Politt","GER",44,15
29,"Filippo Ganna","ITA",44,15
30,"Bob Jungels","LUX",43,15
31,"Romain Bardet","FRA",42,15
32,"Benjamin Thomas","FRA",42,15
33,"Simon Geschke","GER",40,15
34,"Adam Yates","GBR",39,15
35,"Alexander Kristoff","NOR",37,15
36,"Enric Mas","ESP",35,15
37,"Caleb Ewan","AUS",35,15
38,"Patrick Konrad","AUT",33,15
39,"Nicholas Schultz","AUS",33,15
40,"Louis Meintjes","RSA",32,15
41,"Jakob Fuglsang","DEN",32,15
42,"Andreas Lorentz Kron","DEN",32,15
43,"Anthony Perez","FRA",30,15
44,"Alberto Dainese","ITA",30,15
45,"Dylan Teuns","BEL",29,15
46,"Marc Soler","ESP",29,15
47,"Hugo Hofstetter","FRA",29,15
48,"Felix Grossschartner","AUT",28,15
49,"Jasper Stuyven","BEL",26,15
